"county","type","indicator","estimate","lcl","ucl"
"Monrovia","est","muacScreen",0.0379078694817658,0.0136779297977021,0.0773384674995046
"Grand Bassa","est","muacScreen",0.0125572713388766,0.00811842735617539,0.0192363295814032
"Monrovia","est","oedemaScreen",0.0265339966832504,0.00521798757665722,0.0662591324276813
"Grand Bassa","est","oedemaScreen",0.000679694137638063,0,0.00205283572286811
"Monrovia","est","bothScreen",0.0255115599255913,0.00464742818260089,0.0636179158710825
"Grand Bassa","est","bothScreen",0.000564546480993602,0,0.00194479540816368
