"psu","sp.map","county","spid","segment","icf1","icf2","icf2a.1","icf2a.2","icf2a.3","icf2a.4","icf2a.5","icf2a.6","icf2a.7","icf2a.8","icf2a.9","icf2a.10","icf2a.11","icf3"
"212154","212",2,12,154,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"212154","212",2,12,154,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"212152","212",2,12,152,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"212146","212",2,12,146,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"212143","212",2,12,143,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"212153","212",2,12,153,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"220249","220",2,20,249,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"220249","220",2,20,249,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"202020","202",2,2,20,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"202020","202",2,2,20,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"202016","202",2,2,16,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"203034","203",2,3,34,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"203034","203",2,3,34,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"203028","203",2,3,28,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
"202018","202",2,2,18,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"202018","202",2,2,18,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"202018","202",2,2,18,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"203036","203",2,3,36,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"203036","203",2,3,36,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"203036","203",2,3,36,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"203029","203",2,3,29,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"203030","203",2,3,30,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
"203030","203",2,3,30,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"202021","202",2,2,21,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"202021","202",2,2,21,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"220252","220",2,20,252,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"211141","211",2,11,141,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"211138","211",2,11,138,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"211142","211",2,11,142,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"211139","211",2,11,139,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"211139","211",2,11,139,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"220259","220",2,20,259,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"210129","210",2,10,129,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"217208","217",2,17,208,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"217208","217",2,17,208,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"217208","217",2,17,208,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"217208","217",2,17,208,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"217212","217",2,17,212,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"217217","217",2,17,217,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"217219","217",2,17,219,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"217220","217",2,17,220,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"217220","217",2,17,220,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"217214","217",2,17,214,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"220250","220",2,20,250,0,0,0,0,0,0,0,0,1,0,0,0,0,NA
"214169","214",2,14,169,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"214169","214",2,14,169,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"214170","214",2,14,170,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"214170","214",2,14,170,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"214171","214",2,14,171,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"214172","214",2,14,172,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"214175","214",2,14,175,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"206066","206",2,6,66,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"206066","206",2,6,66,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"206066","206",2,6,66,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"223291","223",2,23,291,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"206071","206",2,6,71,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"206070","206",2,6,70,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
"206070","206",2,6,70,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"206073","206",2,6,73,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"206069","206",2,6,69,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"206069","206",2,6,69,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"206067","206",2,6,67,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"206067","206",2,6,67,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"206069","206",2,6,69,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"214176","214",2,14,176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"214176","214",2,14,176,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"214177","214",2,14,177,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"214177","214",2,14,177,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"214178","214",2,14,178,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"214179","214",2,14,179,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"214179","214",2,14,179,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"207084","207",2,7,84,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"207087","207",2,7,87,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"207087","207",2,7,87,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"208099","208",2,8,99,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"219234","219",2,19,234,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"219239","219",2,19,239,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"219242","219",2,19,242,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"219245","219",2,19,245,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"219235","219",2,19,235,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"216196","216",2,16,196,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"216196","216",2,16,196,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"216195","216",2,16,195,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"216195","216",2,16,195,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"216202","216",2,16,202,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"216202","216",2,16,202,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
