"county","indicator","estimate","lcl","ucl"
"Monrovia","point",0.307692307692308,0.272899408284024,0.342485207100592
"Monrovia","treatment",0.546762589928058,0.53974313254421,0.553782047311906
"Grand Bassa","point",0.0645161290322581,0.04898343882675,0.0800488192377661
"Grand Bassa","treatment",0.176470588235294,0.16768010258209,0.185261073888498
