cid,county,spid,segment,clan1,sname,est_pop,est_hh1,map,nsegment,nsample1,spInterval1,randomStart1,pop,est_hh2,district,clan2,vname,nvillage,spInterval2,randomStart2,coords,_coords_latitude,_coords_longitude,_coords_altitude,_coords_precision,instanceID,instanceName,_id,_uuid,_submission_time,_tags,_notes,_version,_duration,_submitted_by,_total_media,_media_count,_review_status,_review_comment,_media_all_received,_xform_id
1,Urban Montserrado,25,73,Z1600 Cassava Hill,Segment  1,389,100,"https://www.google.co.uk/maps/place/6.38162495005299,-10.7063974369175",2,10,10,9,389,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.413959999999999 -10.713255 -15.6 4.2,6.413959999999999,-10.713255,-15.6,4.2,uuid:1b82f09f-0702-44b8-8c1e-28ddf340853e,VF-Urban Montserrado-Sampling Point 25-Segment/Village73,34033974,1b82f09f-0702-44b8-8c1e-28ddf340853e,2018-09-04T21:28:40,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,10,28,Z1100 Police Academy,Segment  1,564,86,"https://www.google.co.uk/maps/place/6.28515812972715,-10.7027054878433",3,7,12,6,564,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:366288f4-1a2d-4e3f-92b6-008fa2e0c8ef,VF-Urban Montserrado-Sampling Point 10-Segment/Village28,34071575,366288f4-1a2d-4e3f-92b6-008fa2e0c8ef,2018-09-05T15:22:12,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,1,1,Z1100 King Gray-Elwa,Segment  1,689,103,"https://www.google.co.uk/maps/place/6.24130673111585,-10.6991255341117",3,7,15,10,689,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.247776666666666 -10.705319999999999 5.4 5.0,6.247776666666666,-10.705319999999999,5.4,5.0,uuid:1c088dcd-dbec-45be-b58c-d1410ced802c,VF-Urban Montserrado-Sampling Point 1-Segment/Village1,34071602,1c088dcd-dbec-45be-b58c-d1410ced802c,2018-09-05T15:22:48,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,9,25,Z1000 Peace Island,Segment  1,415,71,"https://www.google.co.uk/maps/place/6.27998674126021,-10.7297823562924",3,7,10,7,415,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:4ef8d0ca-482c-43ea-86cb-51c3f66f28af,VF-Urban Montserrado-Sampling Point 9-Segment/Village25,34071900,4ef8d0ca-482c-43ea-86cb-51c3f66f28af,2018-09-05T15:27:41,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,9,27,Z1000 Peace Island,Segment  3,593,122,"https://www.google.co.uk/maps/place/6.2784678601563,-10.7329875445082",3,7,17,16,593,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:ef50a3ca-93a3-447f-af27-1126e202bf62,VF-Urban Montserrado-Sampling Point 9-Segment/Village27,34071992,ef50a3ca-93a3-447f-af27-1126e202bf62,2018-09-05T15:29:40,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,4,10,Z1000 Congo Town Old Rd,Segment  1,506,92,"https://www.google.co.uk/maps/place/6.26350308172335,-10.7183403021029",3,7,13,13,506,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:eb64342d-54e1-41f6-8dbf-1d05477ee5a5,VF-Urban Montserrado-Sampling Point 4-Segment/Village10,34072379,eb64342d-54e1-41f6-8dbf-1d05477ee5a5,2018-09-05T15:36:16,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,10,29,Z1100 Police Academy,Segment  2,563,96,"https://www.google.co.uk/maps/place/6.28321350217547,-10.7061654024606",3,7,14,7,563,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:eff58d4e-7b88-44d9-8e0f-eb552dd74a3c,VF-Urban Montserrado-Sampling Point 10-Segment/Village29,34072627,eff58d4e-7b88-44d9-8e0f-eb552dd74a3c,2018-09-05T15:38:10,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,9,26,Z1000 Peace Island,Segment  2,874,165,"https://www.google.co.uk/maps/place/6.27770612336309,-10.7367414393459",3,7,24,22,874,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,uuid:bf74e9c1-04ed-4d03-b151-671f20d78243,VF-Urban Montserrado-Sampling Point 9-Segment/Village26,34072725,bf74e9c1-04ed-4d03-b151-671f20d78243,2018-09-05T15:39:38,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,1,2,Z1100 King Gray-Elwa,Segment  2,758,127,"https://www.google.co.uk/maps/place/6.2381726551423,-10.6934276325029",3,7,18,4,758,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.248388333333333 -10.705051666666668 20.9 4.9,6.248388333333333,-10.705051666666668,20.9,4.9,uuid:7ee1595b-eab9-4e6e-991a-8c62e9e55147,VF-Urban Montserrado-Sampling Point 1-Segment/Village2,34074280,7ee1595b-eab9-4e6e-991a-8c62e9e55147,2018-09-05T16:10:46,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
1,Urban Montserrado,1,3,Z1100 King Gray-Elwa,Segment  3,374,74,"https://www.google.co.uk/maps/place/6.23527902776275,-10.6938325098648",3,7,11,3,374,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.247431666666667 -10.676288333333332 4.3 4.7,6.247431666666667,-10.676288333333332,4.3,4.7,uuid:f60ed824-5f94-49d3-a43e-cff53559568c,VF-Urban Montserrado-Sampling Point 1-Segment/Village3,34075908,f60ed824-5f94-49d3-a43e-cff53559568c,2018-09-05T16:35:37,,,201808311643,,cadnisurvey,0,0,n/a,n/a,True,333533
