"county","type","indicator","estimate","lcl","ucl"
"Monrovia","est","gam",0.0191046478471628,0.0128931192840601,0.0272849850960353
"Grand Bassa","est","gam",0.0418521816562778,0.0345060271835653,0.0503509805656963
"Monrovia","est","mam",0.012114219786559,0.00781567087173725,0.0172422418105605
"Grand Bassa","est","mam",0.0254418333657021,0.0201678401399117,0.0322174133641426
"Monrovia","est","sam",0.00706991358994501,0.00319841583412904,0.0113944635508879
"Grand Bassa","est","sam",0.0158059180297739,0.0107208198882346,0.0213813511862336
