"sp.map","longitude","latitude"
"101",-10.6955533333333,6.24786555555556
"102",-10.669264,6.23054566666667
"103",-10.6802116666667,6.23399833333333
"104",-10.7183403021029,6.26350308172335
"105",-10.6955738888889,6.25149555555556
"106",-10.66728,6.26574722222222
"107",-10.7897996158659,6.29325702333969
"108",-10.7637971965244,6.28504503143832
"109",-10.7331704467155,6.2787202415932
"110",-10.704435445152,6.28418581595131
"111",-10.6702383333333,6.28828666666667
"112",-10.4760468830175,6.24440288401985
"113",-10.7187377777778,6.32287722222222
"114",-10.7437133333333,6.33174166666667
"115",-10.6852008333333,6.31144083333333
"116",-10.6661033333333,6.31687944444444
"117",-10.7904466666667,6.33790388888889
"118",-10.7606158333333,6.33655666666667
"119",-10.7357666666667,6.33625833333333
"120",-10.7053913333333,6.33167366666667
"121",-10.6756025,6.328675
"122",-10.7788366666667,6.36441666666667
"123",-10.7407466666667,6.36312833333333
"124",-10.725815,6.36653833333333
"125",-10.713255,6.41396
"126",-10.7850177777778,6.38700777777778
"127",-10.76701,6.39180388888889
"128",-10.7267583333333,6.40153
"129",-10.7293916666667,6.39985166666667
"130",-10.7453575,6.37055833333333
"201",-9.73113974358974,5.65918807692308
"202",-9.91176916666667,5.7964535
"203",-9.77438878787879,5.77609196969697
"204",-10.0006156944444,5.92701305555556
"205",-9.85173282051282,5.91106230769231
"206",-9.69940819444444,5.91716972222222
"207",-10.2400697625,6.10081389166667
"208",-10.1023236111111,6.04855958333333
"209",-9.93531076923077,6.05201846153846
"210",-9.765344375,6.055215
"211",-10.3137751047619,6.21370505238095
"212",-10.1713044388889,6.18699888888889
"213",-10.0025875641026,6.1794141025641
"214",-9.851285,6.20141525641026
"215",-9.6577675,6.19920333333333
"216",-9.53916166666667,6.17768240740741
"217",-10.2370445666667,6.355035475
"218",-10.0626114102564,6.24990358974359
"219",-9.92563923076923,6.33150397435897
"220",-9.67950935897436,6.30822987179487
"221",-9.63439575757576,6.343155
"222",-9.45808166666667,6.33589966666667
"223",-10.1861737461538,6.47116435384615
"224",-9.86220833333333,6.41900666666667
"225",-9.72227,6.56022916666667
"226",-9.52173516666667,6.45501333333333
"227",-9.38428128205128,6.47657666666667
"228",-9.24810783333333,6.50170183333333
"229",-9.77804333333333,6.61058358974359
"230",-9.63619166666667,6.58351
